Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5900,2011,0,11093,1171.16,100.000%,19.89875,47.87,0.00,2463.6
TOTAL,5900,2011,0,11093,1171.16,100.000%,19.89875,47.87,0.00,2463.6
